Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-11243M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,12/01/2023 08:52,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11243.4,0.0,00:56:01.7,00:02:29.7,3.34,00:00:00.0,0.00,30.5,1334,8.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2151083,0.1446847


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11243.4,0.0,00:56:01.7,00:02:29.7,3.34,00:00:00.0,0.00,30.5,1334,8.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2151083,0.1446847



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5.1,0.0,00:00:04.1,00:12:49.2,0.65,00:00:00.0,0.00,14.5,1,5.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2151083,0.1446847
1,12.8,0.0,00:00:07.8,00:05:16.5,1.58,00:00:00.0,0.00,16.5,2,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2151602,0.1447594
1,21.4,0.0,00:00:11.5,00:03:59.2,2.09,00:00:00.0,0.00,16.5,3,8.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2152207,0.1448372
1,39.8,0.0,00:00:21.1,00:09:34.7,0.87,00:00:00.0,0.00,30.0,4,18.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2154947,0.1451804
1,41.6,0.0,00:00:22.9,00:09:41.4,0.86,00:00:00.0,0.00,34.0,5,1.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2155108,0.1451878
1,43.1,0.0,00:00:24.5,00:08:25.0,0.99,00:00:00.0,0.00,31.0,6,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2155233,0.1451957
1,45.1,0.0,00:00:26.0,00:07:34.5,1.10,00:00:00.0,0.00,42.5,7,2.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2155401,0.1452070
1,46.6,0.0,00:00:27.6,00:07:07.4,1.17,00:00:00.0,0.00,35.5,8,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2155521,0.1452160
1,48.5,0.0,00:00:29.1,00:06:46.5,1.23,00:00:00.0,0.00,41.0,9,2.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2155689,0.1452247
1,51.3,0.0,00:00:31.1,00:06:27.6,1.29,00:00:00.0,0.00,33.0,10,2.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2155917,0.1452404
1,53.6,0.0,00:00:32.7,00:06:13.1,1.34,00:00:00.0,0.00,33.5,11,2.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2156111,0.1452529
1,56.1,0.0,00:00:34.3,00:06:05.0,1.37,00:00:00.0,0.00,35.0,12,2.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2156329,0.1452627
1,58.4,0.0,00:00:35.9,00:05:49.6,1.43,00:00:00.0,0.00,37.0,13,2.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2156517,0.1452756
1,60.7,0.0,00:00:37.5,00:05:40.1,1.47,00:00:00.0,0.00,38.5,14,2.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2156693,0.1452937
1,65.7,0.0,00:00:40.5,00:05:20.5,1.56,00:00:00.0,0.00,23.0,15,5.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2157096,0.1453252
1,70.7,0.0,00:00:43.3,00:04:49.0,1.73,00:00:00.0,0.00,23.0,16,5.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2157537,0.1453463
1,75.4,0.0,00:00:45.7,00:04:31.7,1.84,00:00:00.0,0.00,23.0,17,4.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2157947,0.1453604
1,80.6,0.0,00:00:48.5,00:04:19.1,1.93,00:00:00.0,0.00,24.5,18,5.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2158407,0.1453769
1,86.1,0.0,00:00:50.9,00:04:06.3,2.03,00:00:00.0,0.00,24.0,19,5.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2158891,0.1453895
1,91.4,0.0,00:00:53.3,00:03:54.7,2.13,00:00:00.0,0.00,23.5,20,5.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2159365,0.1453991
1,97.2,0.0,00:00:55.9,00:03:48.3,2.19,00:00:00.0,0.00,23.0,21,5.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2159885,0.1454082
1,102.6,0.0,00:00:58.3,00:03:46.2,2.21,00:00:00.0,0.00,25.5,22,5.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2160370,0.1454131
1,109.6,0.0,00:01:01.1,00:03:44.2,2.23,00:00:00.0,0.00,23.5,23,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2160992,0.1454200
1,117.1,0.0,00:01:04.1,00:03:36.4,2.31,00:00:00.0,0.00,19.5,24,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2161662,0.1454301
1,124.8,0.0,00:01:07.1,00:03:24.9,2.44,00:00:00.0,0.00,21.0,25,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2162350,0.1454394
1,131.8,0.0,00:01:09.9,00:03:19.2,2.51,00:00:00.0,0.00,20.5,26,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2162981,0.1454482
1,139.2,0.0,00:01:12.7,00:03:16.1,2.55,00:00:00.0,0.00,21.0,27,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2163647,0.1454553
1,146.4,0.0,00:01:15.6,00:03:16.9,2.54,00:00:00.0,0.00,21.0,28,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2164288,0.1454679
1,153.7,0.0,00:01:18.5,00:03:15.3,2.56,00:00:00.0,0.00,20.5,29,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2164936,0.1454798
1,161.6,0.0,00:01:21.5,00:03:10.8,2.62,00:00:00.0,0.00,21.5,30,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2165646,0.1454944
1,168.9,0.0,00:01:24.1,00:03:10.8,2.62,00:00:00.0,0.00,21.5,31,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2166289,0.1455150
1,176.5,0.0,00:01:26.9,00:03:10.8,2.62,00:00:00.0,0.00,20.5,32,7.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2166960,0.1455337
1,186.2,0.0,00:01:30.5,00:03:08.0,2.66,00:00:00.0,0.00,21.0,33,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2167810,0.1455618
1,195.5,0.0,00:01:33.6,00:03:01.2,2.76,00:00:00.0,0.00,17.5,34,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2168620,0.1455945
1,205.7,0.0,00:01:36.9,00:02:54.2,2.87,00:00:00.0,0.00,18.5,35,10.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2169515,0.1456267
1,216.0,0.0,00:01:40.3,00:02:50.6,2.93,00:00:00.0,0.00,18.5,36,10.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2170422,0.1456594
1,225.0,0.0,00:01:43.5,00:02:47.8,2.98,00:00:00.0,0.00,18.0,37,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2171168,0.1457095
1,235.1,0.0,00:01:46.9,00:02:54.2,2.87,00:00:00.0,0.00,18.5,38,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2171980,0.1457770
1,244.8,0.0,00:01:50.1,00:02:56.7,2.83,00:00:00.0,0.00,18.0,39,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2172730,0.1458483
1,254.9,0.0,00:01:53.5,00:02:49.5,2.95,00:00:00.0,0.00,18.5,40,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2173431,0.1459422
1,264.6,0.0,00:01:56.7,00:02:51.8,2.91,00:00:00.0,0.00,17.5,41,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2174113,0.1460308
1,275.2,0.0,00:02:00.1,00:02:55.4,2.85,00:00:00.0,0.00,18.0,42,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2174765,0.1461440
1,285.7,0.0,00:02:03.6,00:02:53.0,2.89,00:00:00.0,0.00,18.0,43,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2175394,0.1462599
1,297.4,0.0,00:02:07.3,00:02:49.5,2.95,00:00:00.0,0.00,16.5,44,11.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2175908,0.1464094
1,308.0,0.0,00:02:10.7,00:02:47.2,2.99,00:00:00.0,0.00,17.0,45,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2176289,0.1465519
1,319.2,0.0,00:02:14.3,00:02:45.0,3.03,00:00:00.0,0.00,17.0,46,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2176663,0.1467039
1,329.7,0.0,00:02:17.7,00:02:44.5,3.04,00:00:00.0,0.00,17.0,47,10.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2176928,0.1468510
1,340.9,0.0,00:02:21.5,00:02:42.9,3.07,00:00:00.0,0.00,17.0,48,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2177204,0.1470090
1,350.8,0.0,00:02:24.6,00:02:41.8,3.09,00:00:00.0,0.00,17.0,49,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2177500,0.1471466
1,362.5,0.0,00:02:28.3,00:02:43.9,3.05,00:00:00.0,0.00,17.0,50,11.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2177826,0.1473085
1,373.1,0.0,00:02:31.7,00:02:43.4,3.06,00:00:00.0,0.00,17.0,51,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2178084,0.1474587
1,383.7,0.0,00:02:35.1,00:02:42.9,3.07,00:00:00.0,0.00,17.5,52,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2178349,0.1476076
1,408.8,0.0,00:02:47.6,00:04:02.7,2.06,00:00:00.0,0.00,9.5,53,25.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2179324,0.1480950
1,410.0,0.0,00:02:49.2,00:09:28.2,0.88,00:00:00.0,0.00,29.5,54,1.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2179356,0.1481121
1,411.2,0.0,00:02:50.6,00:10:49.3,0.77,00:00:00.0,0.00,37.0,55,1.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2179390,0.1481277
1,412.7,0.0,00:02:52.2,00:09:41.4,0.86,00:00:00.0,0.00,43.0,56,1.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2179427,0.1481498
1,414.2,0.0,00:02:53.6,00:08:46.3,0.95,00:00:00.0,0.00,41.0,57,1.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2179467,0.1481699
1,415.7,0.0,00:02:55.0,00:07:56.2,1.05,00:00:00.0,0.00,41.0,58,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2179505,0.1481913
1,417.7,0.0,00:02:56.8,00:07:26.4,1.12,00:00:00.0,0.00,39.0,59,2.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2179557,0.1482201
1,419.2,0.0,00:02:58.0,00:07:03.7,1.18,00:00:00.0,0.00,41.5,60,1.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2179596,0.1482402
1,420.9,0.0,00:02:59.4,00:06:46.5,1.23,00:00:00.0,0.00,42.0,61,1.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2179640,0.1482643
1,422.7,0.0,00:03:00.9,00:06:30.6,1.28,00:00:00.0,0.00,41.5,62,1.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2179689,0.1482891
1,424.8,0.0,00:03:02.4,00:06:18.8,1.32,00:00:00.0,0.00,42.5,63,2.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2179756,0.1483182
1,426.2,0.0,00:03:03.7,00:06:13.1,1.34,00:00:00.0,0.00,41.5,64,1.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2179799,0.1483375
1,428.6,0.0,00:03:05.2,00:06:05.0,1.37,00:00:00.0,0.00,40.0,65,2.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2179868,0.1483707
1,431.9,0.0,00:03:07.4,00:05:44.8,1.45,00:00:00.0,0.00,27.0,66,3.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2179972,0.1484170
1,435.6,0.0,00:03:09.8,00:05:20.5,1.56,00:00:00.0,0.00,28.5,67,3.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2180087,0.1484666
1,439.7,0.0,00:03:12.0,00:04:57.6,1.68,00:00:00.0,0.00,25.5,68,4.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2180209,0.1485244
1,443.8,0.0,00:03:14.2,00:04:45.7,1.75,00:00:00.0,0.00,27.0,69,4.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2180332,0.1485807
1,447.9,0.0,00:03:16.4,00:04:37.8,1.80,00:00:00.0,0.00,27.0,70,4.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2180450,0.1486381
1,451.9,0.0,00:03:18.6,00:04:27.4,1.87,00:00:00.0,0.00,27.0,71,3.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2180569,0.1486925
1,456.1,0.0,00:03:20.6,00:04:17.7,1.94,00:00:00.0,0.00,28.5,72,4.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2180707,0.1487504
1,460.5,0.0,00:03:22.8,00:04:13.8,1.97,00:00:00.0,0.00,29.5,73,4.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2180858,0.1488101
1,464.2,0.0,00:03:24.8,00:04:11.3,1.99,00:00:00.0,0.00,28.5,74,3.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2180996,0.1488600
1,468.7,0.0,00:03:26.8,00:04:05.1,2.04,00:00:00.0,0.00,29.5,75,4.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2181176,0.1489190
1,473.3,0.0,00:03:29.0,00:04:03.9,2.05,00:00:00.0,0.00,28.5,76,4.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2181352,0.1489790
1,477.5,0.0,00:03:31.0,00:04:02.7,2.06,00:00:00.0,0.00,29.5,77,4.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2181522,0.1490347
1,483.2,0.0,00:03:33.8,00:03:54.7,2.13,00:00:00.0,0.00,21.5,78,5.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2181760,0.1491089
1,489.6,0.0,00:03:36.7,00:03:44.2,2.23,00:00:00.0,0.00,23.0,79,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2182027,0.1491909
1,495.6,0.0,00:03:39.0,00:03:37.4,2.30,00:00:00.0,0.00,23.5,80,6.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2182278,0.1492696
1,501.4,0.0,00:03:41.4,00:03:35.5,2.32,00:00:00.0,0.00,23.5,81,5.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2182496,0.1493464
1,507.7,0.0,00:03:44.0,00:03:31.9,2.36,00:00:00.0,0.00,23.5,82,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2182748,0.1494293
1,513.7,0.0,00:03:46.4,00:03:27.5,2.41,00:00:00.0,0.00,24.5,83,6.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2182992,0.1495077
1,519.6,0.0,00:03:48.9,00:03:25.8,2.43,00:00:00.0,0.00,23.5,84,5.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2183243,0.1495839
1,525.9,0.0,00:03:51.7,00:03:24.1,2.45,00:00:00.0,0.00,23.5,85,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2183510,0.1496659
1,532.3,0.0,00:03:54.0,00:03:24.1,2.45,00:00:00.0,0.00,24.5,86,6.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2183773,0.1497490
1,538.2,0.0,00:03:56.4,00:03:24.9,2.44,00:00:00.0,0.00,23.5,87,5.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2184016,0.1498263
1,544.6,0.0,00:03:59.0,00:03:24.1,2.45,00:00:00.0,0.00,23.5,88,6.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2184294,0.1499080
1,552.9,0.0,00:04:02.2,00:03:19.2,2.51,00:00:00.0,0.00,18.5,89,8.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2184653,0.1500145
1,562.1,0.0,00:04:05.6,00:03:10.8,2.62,00:00:00.0,0.00,18.5,90,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2185044,0.1501330
1,570.4,0.0,00:04:08.6,00:03:04.5,2.71,00:00:00.0,0.00,19.0,91,8.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2185366,0.1502438
1,579.6,0.0,00:04:11.8,00:02:59.9,2.78,00:00:00.0,0.00,18.5,92,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2185706,0.1503658
1,588.7,0.0,00:04:15.1,00:02:56.7,2.83,00:00:00.0,0.00,19.0,93,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2186011,0.1504902
1,598.0,0.0,00:04:18.2,00:02:54.8,2.86,00:00:00.0,0.00,19.0,94,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2186317,0.1506162
1,607.1,0.0,00:04:21.7,00:02:54.2,2.87,00:00:00.0,0.00,19.0,95,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2186600,0.1507427
1,615.9,0.0,00:04:24.7,00:02:54.2,2.87,00:00:00.0,0.00,19.0,96,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2186821,0.1508657
1,625.2,0.0,00:04:27.8,00:02:53.0,2.89,00:00:00.0,0.00,19.0,97,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2187023,0.1509976
1,634.5,0.0,00:04:30.9,00:02:51.2,2.92,00:00:00.0,0.00,19.5,98,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2187201,0.1511312
1,645.2,0.0,00:04:34.4,00:02:48.4,2.97,00:00:00.0,0.00,17.0,99,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2187431,0.1512837
1,655.8,0.0,00:04:37.8,00:02:44.5,3.04,00:00:00.0,0.00,18.0,100,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2187654,0.1514355
1,666.7,0.0,00:04:41.2,00:02:40.3,3.12,00:00:00.0,0.00,18.0,101,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2187871,0.1515910
1,676.9,0.0,00:04:44.4,00:02:38.7,3.15,00:00:00.0,0.00,17.5,102,10.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2188061,0.1517376
1,688.4,0.0,00:04:48.0,00:02:37.7,3.17,00:00:00.0,0.00,17.5,103,11.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2188317,0.1519013
1,699.3,0.0,00:04:51.7,00:02:37.7,3.17,00:00:00.0,0.00,18.0,104,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2188553,0.1520558
1,709.2,0.0,00:04:54.7,00:02:37.7,3.17,00:00:00.0,0.00,17.5,105,9.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2188788,0.1521950
1,720.6,0.0,00:04:58.0,00:02:36.2,3.20,00:00:00.0,0.00,18.0,106,11.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2189094,0.1523545
1,731.3,0.0,00:05:01.4,00:02:36.7,3.19,00:00:00.0,0.00,18.0,107,10.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2189424,0.1525033
1,742.2,0.0,00:05:04.8,00:02:37.7,3.17,00:00:00.0,0.00,17.5,108,10.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2189808,0.1526491
1,752.2,0.0,00:05:08.0,00:02:37.7,3.17,00:00:00.0,0.00,18.0,109,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2190199,0.1527819
1,762.9,0.0,00:05:11.4,00:02:36.7,3.19,00:00:00.0,0.00,18.0,110,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2190642,0.1529204
1,773.0,0.0,00:05:14.7,00:02:35.3,3.22,00:00:00.0,0.00,18.0,111,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2191115,0.1530468
1,784.4,0.0,00:05:18.0,00:02:31.5,3.30,00:00:00.0,0.00,18.5,112,11.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2191674,0.1531879
1,796.0,0.0,00:05:21.2,00:02:24.9,3.45,00:00:00.0,0.00,18.5,113,11.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2192238,0.1533293
1,807.6,0.0,00:05:24.7,00:02:18.9,3.60,00:00:00.0,0.00,18.5,114,11.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2192825,0.1534710
1,819.0,0.0,00:05:27.7,00:02:15.1,3.70,00:00:00.0,0.00,19.0,115,11.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2193366,0.1536127
1,832.3,0.0,00:05:31.0,00:02:16.2,3.67,00:00:00.0,0.00,38.5,116,13.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2193983,0.1537790
1,839.0,0.0,00:05:32.6,00:02:13.7,3.74,00:00:00.0,0.00,20.5,117,6.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2194306,0.1538617
1,853.8,0.0,00:05:36.2,00:02:05.3,3.99,00:00:00.0,0.00,19.0,118,14.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2195030,0.1540443
